lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
-6.7532078,0.98826715,1.0982896,2,3,0,6.8826261,0.26287217
-8.5974308,0.68173338,1.0982896,2,3,0,8.7203225,0.071018866
-6.7621487,0.90410712,1.0982896,1,3,0,8.5948792,0.22939154
-6.7493486,0.99783417,1.0982896,2,3,0,6.775332,0.24359784
-7.20369,0.88414413,1.0982896,1,3,0,7.2430356,0.37979079
-6.7702032,1,1.0982896,1,3,0,7.0512023,0.27692285
-6.7515906,0.99062779,1.0982896,2,3,0,6.8158129,0.23953978
-6.7566458,0.99947228,1.0982896,2,3,0,6.7567346,0.26665094
-7.4603458,0.74516354,1.0982896,2,3,0,8.1768183,0.12354021
-7.3469429,0.95197749,1.0982896,2,3,0,8.2711444,0.13216115
-6.7669126,0.99040693,1.0982896,2,3,0,7.3981028,0.22624363
-6.8744448,0.98228158,1.0982896,2,3,0,6.9072983,0.31606258
-6.7936218,1,1.0982896,1,1,0,6.8537127,0.28895183
-6.7636395,0.93610488,1.0982896,2,3,0,7.0755443,0.22835375
-6.8004646,0.97663585,1.0982896,2,3,0,6.8967108,0.29186013
-6.7870489,1,1.0982896,1,1,0,6.806941,0.28595633
-6.760456,1,1.0982896,2,3,0,6.780628,0.23064169
-6.8157403,0.98361383,1.0982896,1,3,0,6.8472433,0.29776634
-6.7743186,1,1.0982896,1,1,0,6.8059726,0.2793694
-6.9012081,0.97951706,1.0982896,2,3,0,6.9120805,0.18540654
-7.1052433,0.95243505,1.0982896,1,1,0,7.1148048,0.15540514
-6.803084,0.93709947,1.0982896,2,3,0,7.8520619,0.21012473
-7.0983641,0.9212107,1.0982896,1,3,0,7.231142,0.36290382
-7.0983641,0.31406295,1.0982896,1,1,0,8.8195996,0.36290382
-6.7908126,0.98886135,1.0982896,1,3,0,7.1320285,0.21467347
-8.5868712,0.67184847,1.0982896,1,3,0,8.9935007,0.071344217
-7.6968351,1,1.0982896,1,1,0,8.4780516,0.10849025
-7.0858992,1,1.0982896,1,1,0,7.5764849,0.15768255
-7.7739829,0.94348721,1.0982896,2,3,0,7.8609429,0.44978609
-8.3595994,0.78382124,1.0982896,1,1,0,8.7172326,0.50346207
-6.749227,0.45304644,1.0982896,2,3,0,11.263348,0.24389661
-6.8284198,0.98051056,1.0982896,1,3,0,6.8343801,0.20224227
-6.7481411,0.99941823,1.0982896,1,3,0,6.8135711,0.24807171
-6.8537237,0.97295627,1.0982896,1,3,0,6.8673794,0.19566136
-6.7722593,1,1.0982896,1,1,0,6.8311165,0.22317472
-7.2863699,0.87039296,1.0982896,1,3,0,7.3866423,0.39181331
-8.3557977,0.82951674,1.0982896,2,3,0,8.4945307,0.50314942
-7.4808985,1,1.0982896,1,1,0,8.2171526,0.41709442
