lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
-7.6146113,1,0.91524172,2,7,0,7.6146667,0.11334743
-6.7595101,0.95700236,0.91524172,1,3,0,7.9684524,0.26925878
-6.7595101,0.66290705,0.91524172,1,3,0,8.5893204,0.26925878
-6.8399608,0.97150451,0.91524172,1,3,0,6.9230021,0.19911464
-6.7511654,0.94234964,0.91524172,2,3,0,7.2840385,0.24017684
-6.7495612,0.93827601,0.91524172,2,3,0,7.1949266,0.24310717
-6.7553229,0.99787885,0.91524172,1,3,0,6.7626107,0.26530386
-6.7553229,0.81498732,0.91524172,1,3,0,7.5416028,0.26530386
-6.7810791,0.97733502,0.91524172,2,3,0,6.8925519,0.21881337
-7.3639709,0.89105729,0.91524172,1,3,0,7.4851179,0.13079403
-7.7051264,0.98502071,0.91524172,2,3,0,7.7290766,0.10801968
-7.7596487,0.99781803,0.91524172,2,3,0,7.8929029,0.10500649
-8.3748179,0.93573432,0.91524172,1,1,0,8.3896606,0.078321881
-7.1522626,0.88020616,0.91524172,1,3,0,10.31196,0.37179916
-6.9940704,1,0.91524172,1,1,0,7.147292,0.34367525
-7.9439435,0.56988613,0.91524172,2,7,0,9.6739759,0.095747435
-7.5555942,1,0.91524172,1,1,0,7.9290768,0.1170661
-7.0798687,0.90253742,0.91524172,1,3,0,8.6921815,0.35970835
-6.8446193,1,0.91524172,1,1,0,7.016592,0.30742444
-7.1913492,0.90756021,0.91524172,1,1,0,7.1914664,0.37791262
-6.7665217,1,0.91524172,1,3,0,7.1063165,0.27454184
-6.7614174,1,0.91524172,1,1,0,6.7674692,0.27082216
-6.7614174,0.47959546,0.91524172,1,3,0,9.882593,0.27082216
-6.7692102,0.96910974,0.91524172,2,3,0,6.9592794,0.22487519
-6.760258,0.85925772,0.91524172,2,3,0,7.932465,0.23079357
-7.8389148,0.85186227,0.91524172,2,3,0,7.8994741,0.10085998
-8.0391593,0.97815769,0.91524172,1,1,0,8.1408195,0.091444658
-6.9458436,0.97159919,0.91524172,1,3,0,8.0058536,0.17736116
-6.9300105,1,0.91524172,1,1,0,6.9753011,0.18007793
-6.8207997,0.9768158,0.91524172,1,3,0,7.1678139,0.29958077
-6.8768512,0.95058188,0.91524172,2,3,0,7.1405907,0.31671588
-6.7874418,1,0.91524172,1,1,0,6.8538892,0.2861418
-6.7874418,0.93581915,0.91524172,1,3,0,7.1158076,0.2861418
-6.8056507,0.99527036,0.91524172,1,1,0,6.8120222,0.29394643
-6.7929409,1,0.91524172,1,1,0,6.8110112,0.28865149
-6.9095373,0.96942635,0.91524172,1,1,0,6.9099461,0.32508861
-7.645834,0.67044178,0.91524172,1,3,0,8.819,0.11146089
-8.4559077,0.91329442,0.91524172,1,1,0,8.4561075,0.075549361
-7.855771,1,0.91524172,2,3,0,8.4150883,0.10001145
-7.2822999,1,0.91524172,1,1,0,7.7774678,0.13762093
-7.0766521,1,0.91524172,1,1,0,7.2652,0.15880118
-7.1080136,0.99476165,0.91524172,1,1,0,7.1613519,0.15508563
-7.305939,0.96913009,0.91524172,1,1,0,7.3266821,0.13557231
-7.0119439,1,0.91524172,1,1,0,7.2592689,0.16725688
-6.7508936,0.81051744,0.91524172,2,3,0,9.330819,0.25955228
-6.7553201,0.99891828,0.91524172,1,1,0,6.7554166,0.2653009
-6.9264636,0.90098395,0.91524172,2,3,0,7.3430333,0.18070576
-7.6477557,0.90408798,0.91524172,1,3,0,7.7023442,0.11134651
-7.2870617,1,0.91524172,1,1,0,7.6123064,0.13720317
-6.9169361,0.92967467,0.91524172,1,3,0,7.9242239,0.3268716
-7.6597807,0.80520181,0.91524172,1,1,0,7.6597929,0.43766047
-6.8451158,0.93144975,0.91524172,1,3,0,8.0720958,0.19778905
-6.7643484,0.7772591,0.91524172,2,3,0,9.0467281,0.22787845
-6.7573343,0.87483626,0.91524172,2,3,0,7.7719847,0.23320492
-7.0156408,0.94694971,0.91524172,1,3,0,7.066876,0.16674055
-6.748027,0.99625355,0.91524172,1,3,0,7.0580909,0.25040674
